Entry,Component_A_SMILES,Component_B_SMILES,Component_C_SMILES,Product_SMILES,Yield_Percent,Is_Synthesizable,Z_ID
1627,Nc1ccccn1,COc1cnn(C)c1C=O,C[N+]#[C-],"CNC1=C(N=C2C=CC=CN12)C1=C(OC)C=NN1C |c:6,8,13,17,t:2,4|",22.2,TRUE,Z8873684646
219,COc1cnc(N)cn1,O=Cc1ncco1,COCC[N+]#[C-],"COCCNC1=C(N=C2C=NC(OC)=CN12)C1=NC=CO1 |c:9,13,20,t:5,7,18|",22.3,TRUE,Z8778278042
207,Cc1cnc(N)cn1,COc1ccc(C=O)cc1,C[N+]#[C-],"CNC1=C(N=C2C=NC(C)=CN12)C1=CC=C(OC)C=C1 |c:6,9,20,t:2,4,14,16|",22.4,TRUE,Z8776690348
226,COc1ccc(N)nn1,C=CCCc1ccccc1C=O,C[N+]#[C-],"CNC1=C(N=C2C=CC(OC)=NN12)C1=C(CCC=C)C=CC=C1 |c:6,10,15,21,23,t:2,4|",22.4,TRUE,Z8778278045
874,Cl.Cl.Cl.CN(C)CCN(C)Cc1ccc(N)nc1,NC(=O)c1ccc(C=O)cc1,FC1(F)CC(C1)[N+]#[C-],"CN(C)CCN(C)CC1=CN2C(C=C1)=NC(=C2NC1CC(F)(F)C1)C1=CC=C(C=C1)C(N)=O |c:12,14,16,29,31,t:8,27|",22.4,TRUE,Z8878918445
812,Nc1cnc(F)cn1,CCn1ncnc1C=O,CCC(C)[N+]#[C-],"CCC(C)NC1=C(N=C2C=NC(F)=CN12)C1=NC=NN1CC |c:9,12,19,t:5,7,17|",22.5,TRUE,Z8873685461
852,CP(=O)(C)c1ccc(N)nc1,CCC(C)C(OC)C=O,CSCC[N+]#[C-],"CCC(C)C(OC)C1=C(NCCSC)N2C=C(C=CC2=N1)P(C)(C)=O |c:7,15,17,20|",22.5,TRUE,Z88379331371
1776,CP(=O)(C)c1cccc(N)n1,Cc1cn2cccc(C=O)c2n1,[C-]#[N+]C1CCOCC1,"CC1=CN2C=CC=C(C2=N1)C1=C(NC2CCOCC2)N2C(C=CC=C2P(C)(C)=O)=N1 |c:4,6,9,12,24,26,32,t:1|",22.5,TRUE,Z8854581150
1777,Nc1ncccc1N2CCCCC2,FC(F)(F)Cn1cc(C=O)nn1,COCC[N+]#[C-],"COCCNC1=C(N=C2N1C=CC=C2N1CCCCC1)C1=CN(CC(F)(F)F)N=N1 |c:7,11,13,31,t:5,23|",22.5,TRUE,Z8855739191
253,Nc1nccc2nccnc12,O=CCC1CCCC1,CCOC(=O)CCC[N+]#[C-],"CCOC(=O)CCCNC1=C(CC2CCCC2)N=C2N1C=CC1=C2N=CC=N1 |c:9,18,22,24,27,29|",22.6,TRUE,Z8784060825
881,Cl.CN(C)S(=O)(=O)c1ccnc(N)c1,FC(F)(F)c1ccc(C=O)nn1,CCOC(=O)CC[N+]#[C-],"CCOC(=O)CCNC1=C(N=C2C=C(C=CN12)S(=O)(=O)N(C)C)C1=NN=C(C=C1)C(F)(F)F |c:12,14,27,29,t:8,10,25|",22.6,TRUE,Z8878918863
244,Cl.CN(C)C(=O)c1ccc(N)nc1,Cc1ccc(C=O)cc1,CC1(CC1)[N+]#[C-],"CN(C)C(=O)C1=CN2C(C=C1)=NC(=C2NC1(C)CC1)C1=CC=C(C)C=C1 |c:9,11,13,27,t:5,22,24|",22.7,TRUE,Z8776690331
1700,Cc1ccnc(N)c1,CCn1nncc1C=O,COCCC[N+]#[C-],"CCN1N=NC=C1C1=C(NCCCOC)N2C=CC(C)=CC2=N1 |c:3,5,8,17,20,23|",22.8,TRUE,Z8873684786
794,Nc1cnccn1,O=Cc1ccc2ncccc2n1,C[N+]#[C-],"CNC1=C(N=C2C=NC=CN12)C1=NC2=C(C=C1)N=CC=C2 |c:6,8,15,17,20,22,t:2,4,13|",22.9,TRUE,Z8835022913
868,Nc1nccnc1N2CCCC2,CN(C)S(=O)(=O)c1cccc(C=O)c1,COCC[N+]#[C-],"COCCNC1=C(N=C2N1C=CN=C2N1CCCC1)C1=CC(=CC=C1)S(=O)(=O)N(C)C |c:7,11,13,24,26,t:5,22|",23.1,TRUE,Z8846491730
1673,Nc1ccc(F)cn1,FC1(F)CC1C=O,[C-]#[N+]C1CCOC1,"FC1=CN2C(C=C1)=NC(C1CC1(F)F)=C2NC1CCOC1 |c:5,7,15,t:1|",23.1,TRUE,Z8849597836
1726,Nc1ccc(Br)cn1,O=Cc1cnc2COCCn12,C[N+]#[C-],"CNC1=C(N=C2C=CC(Br)=CN12)C1=CN=C2COCCN12 |c:6,9,t:2,4,14,16|",23.1,TRUE,Z8855739232
268,Nc1nccnc1C2CC2,Fc1cncc(I)c1C=O,[C-]#[N+]C1COC1,"FC1=C(C2=C(NC3COC3)N3C=CN=C(C4CC4)C3=N2)C(I)=CN=C1 |c:1,3,12,21,25,27,t:14|",23.2,TRUE,Z8801681849
823,Cl.Nc1cc(ccn1)c2ncon2,Cc1cc(C=O)on1,CC(C)(C)[N+]#[C-],"CC1=NOC(=C1)C1=C(NC(C)(C)C)N2C=CC(=CC2=N1)C1=NOC=N1 |c:4,7,15,17,20,26,t:1,23|",23.2,TRUE,Z8878918344
